Scalar DZ under FrequencyResponse for NODALGROUP 1: NODENUMBER X0  Y0  Z0  RESULT-1 RESULT-2 ... RESULT-N
240
   5.0000E+02
 4 -8.8870E-03 -1.4080E-03  0.0000E+00 -4.5932E-04  3.2262E-06
 26 -7.8990E-03 -1.2510E-03  0.0000E+00 -4.6200E-04  2.1722E-05
 38 -6.9120E-03 -1.0950E-03  0.0000E+00 -4.5891E-04  1.0877E-05
 50 -5.9250E-03 -9.3800E-04  0.0000E+00 -4.5241E-04  2.0763E-05
 74 -8.5570E-03 -2.7810E-03  0.0000E+00 -4.5934E-04  3.2965E-06
 85 -7.6070E-03 -2.4720E-03  0.0000E+00 -4.6198E-04  2.1670E-05
 91 -6.6560E-03 -2.1630E-03  0.0000E+00 -4.5889E-04  1.0828E-05
 97 -5.7050E-03 -1.8540E-03  0.0000E+00 -4.5241E-04  2.0754E-05
 110 -8.0180E-03 -4.0860E-03  0.0000E+00 -4.5942E-04  3.3684E-06
 121 -7.1270E-03 -3.6320E-03  0.0000E+00 -4.6195E-04  2.1625E-05
 127 -6.2360E-03 -3.1780E-03  0.0000E+00 -4.5888E-04  1.0869E-05
 133 -5.3450E-03 -2.7240E-03  0.0000E+00 -4.5239E-04  2.0758E-05
 146 -7.2810E-03 -5.2900E-03  0.0000E+00 -4.5946E-04  3.3969E-06
 157 -6.4720E-03 -4.7020E-03  0.0000E+00 -4.6193E-04  2.1580E-05
 163 -5.6630E-03 -4.1140E-03  0.0000E+00 -4.5891E-04  1.0856E-05
 169 -4.8540E-03 -3.5270E-03  0.0000E+00 -4.5242E-04  2.0745E-05
 182 -6.3640E-03 -6.3640E-03  0.0000E+00 -4.5946E-04  3.4238E-06
 193 -5.6570E-03 -5.6570E-03  0.0000E+00 -4.6194E-04  2.1587E-05
 199 -4.9500E-03 -4.9500E-03  0.0000E+00 -4.5892E-04  1.0856E-05
 205 -4.2430E-03 -4.2430E-03  0.0000E+00 -4.5244E-04  2.0696E-05
 218 -5.2900E-03 -7.2810E-03  0.0000E+00 -4.5948E-04  3.3619E-06
 229 -4.7020E-03 -6.4720E-03  0.0000E+00 -4.6194E-04  2.1614E-05
 235 -4.1140E-03 -5.6630E-03  0.0000E+00 -4.5893E-04  1.0882E-05
 241 -3.5270E-03 -4.8540E-03  0.0000E+00 -4.5245E-04  2.0737E-05
 254 -4.0860E-03 -8.0180E-03  0.0000E+00 -4.5943E-04  3.3134E-06
 265 -3.6320E-03 -7.1270E-03  0.0000E+00 -4.6197E-04  2.1660E-05
 271 -3.1780E-03 -6.2360E-03  0.0000E+00 -4.5891E-04  1.0877E-05
 277 -2.7240E-03 -5.3450E-03  0.0000E+00 -4.5244E-04  2.0781E-05
 290 -2.7810E-03 -8.5570E-03  0.0000E+00 -4.5936E-04  3.2476E-06
 301 -2.4720E-03 -7.6070E-03  0.0000E+00 -4.6197E-04  2.1705E-05
 307 -2.1630E-03 -6.6560E-03  0.0000E+00 -4.5887E-04  1.0809E-05
 313 -1.8540E-03 -5.7050E-03  0.0000E+00 -4.5241E-04  2.0754E-05
 326 -1.4080E-03 -8.8870E-03  0.0000E+00 -4.5928E-04  3.2697E-06
 337 -1.2510E-03 -7.8990E-03  0.0000E+00 -4.6200E-04  2.1700E-05
 343 -1.0950E-03 -6.9120E-03  0.0000E+00 -4.5887E-04  1.0881E-05
 349 -9.3800E-04 -5.9250E-03  0.0000E+00 -4.5240E-04  2.0732E-05
 362  1.7400E-12 -9.0000E-03  0.0000E+00 -4.5935E-04  3.2953E-06
 373  1.5460E-12 -8.0000E-03  0.0000E+00 -4.6203E-04  2.1682E-05
